comment,cleaned_comment
Mahfud MD paling berkelas,paling kelas
Semoga anak saya dimasa depan bagian Aset indonesia emas.. Pilih no.2 mantapp👍👍👍👍,anak saya masa depan bagi indonesia emas mantapp
HIDUP GIBRANNNNN,hidup gibrannnnn
"Jangan panggil dia anak kecil paman. .karna sekali dia bicara, , kena mental kalian semua. .",panggil dia anak kecil paman karna sekali dia bicara kena mental kalian semua
Saya yakin prabowo gibran yang akan menjadi wakil rakyat semangat  no 2,yakin prabowo gibran yang akan jadi wakil rakyat semangat
Kami warga Papua seluruh nya siap menangkan pak Anies Baswedan dan pak Muhaimin Iskandar,warga seluruh nya siap menang pak dan pak
"Sesekali okelah slepet kalau sering2 ngomong slepet males juga dengernya, seperti tidak ada bahasa lain",oke slepet kalau sering ngomong slepet males juga dengernya seperti tidak ada bahasa lain
Amin tetap dihati. Maju anis barmswedan.,tetap hati anis barmswedan
"betapa pentingnya tim riset, tim public speaking dan tim grooming yang bisa membuat gibran dulunya suka keceplosan gali kubur sendiri, dalam waktu 2-3 bulan bikin gibran yang tenang dan lebih terarah ucapannya. Bravo timses no.2",betapa penting tim riset tim public speaking dan tim grooming yang bisa buat gibran dulunya suka ceplos gali kubur sendiri dalam waktu bulan bikin gibran yang tenang dan lebih arah ucap timses
Disaat wakil lebih layak dibandingkan capresnya,wakil lebih layak banding capresnya
"Agung ,Sedayu Maya pada,itu yang dimaksud prof Mahfud segelintir orang yang menguasai sebagai besar lahan IKN..kalok untuk infrastuktur umu setahu saya baru abpn...",padaitu yang maksud prof gelintir orang yang kuasa bagai besar lahan iknkalok untuk infrastuktur umu tahu saya baru abpn
tentunya Anis tetap yg terbaik utk memimpin indonesia...,tentu tetap baik utk pimpin indonesia
Mas gibran cepat cerdas ga berbelit belit,gibran cepat cerdas belit belit
Tenang pak prabowo tenang..saya pilih prabowo gibran.,pak prabowo tenangsaya pilih prabowo gibran
Potong tumpeng 🫢🤭,tumpeng
Sy setuju dgn gus imin lebih baik janji sedikit dari pada janji tinggi tdk terealisasi.,tuju dgn gus imin lebih baik janji sedikit dari pada janji tinggi tdk realisasi
Meskipun gibran masih tergolong mudah tp ide nya tanggapan nya bukan kaleng kaleng penerus pak Jokowi mantap keren😅,gibran masih golong mudah ide nya tanggap nya bukan kaleng kaleng terus pak mantap keren
"Ini bener bener gibran ini gak salah gibran yang ngomong
Aduuuh aduuh ko bisa sehebat itu ngomong nya
Super super kaget",bener bener gibran ini gak salah gibran yang ngomong aduuh bisa hebat itu ngomong nya super kaget
Sprtnya pertanyaan2 yg sdh ada  calon cawapres no 2 lbh mudah menjslkannya sampe2 waktunya belum hbs Gibran sdh selesai duluan menjelaskannya. Apa semua pertanyaannya calon no 2 sdh pd tahu ya.,tanya sdh ada calon cawapres lbh mudah menjslkannya sampe waktu belum hbs sdh selesai duluan jelas semua tanya calon sdh tahu
Di luar dugaan. Awalnya gibran di prekdudi akan jadi bulan2 nan di debat cawapy tp lihat sendiri .dia grogi sama skali,luar duga gibran prekdudi akan jadi bulan nan debat cawapy lihat sendiri dia grogi sama skali
Saatnya anak muda bangga dengan anak muda yang mewakilinya. Anak muda jangan mau dipolitisasai seolah olah anak muda tidak mampu. Gibran telah membuktikan. Bangga dengan Gibran😊😊😊,anak muda bangga dengan anak muda yang wakil muda jangan mau dipolitisasai olah olah anak muda tidak mampu telah bukti dengan
Gibran tidak hadir dalam debat 1...karena menghormati seniornya🙏,tidak hadir dalam debat karena hormat senior
Lebih ke arah debat kali ini,arah debat kali ini
"Bp prabowo gibran  pilihan ku 
2024 Bissmillah  menang jadi President Aamiin",prabowo gibran pilih menang jadi
Imin blunder mau bikin 40 kota seperti selevel jakarta.?? fix gini amat cari suara 😂,blunder mau bikin kota seperti level jakarta fix gin amat cari suara
Suara dari Aceh dan Sumbar tetap Anies.,dari dan tetap
Saya setuju dengan pak Mahfud.. jadi jangan asal menaikkan pajak... Malah seakan rakyat yang akan diperas... Biasanya kalo pajak naik apa2 harus naik.... Maka pak mahfud bilang sensitif bgt kepada rakyat mengenai pajak jadi harus jelas jangan sampai pajak dikorupsi..  Pak Mahfud hebat berkualitas dan profesional dalam merangkul perekonomian Indonesia.. tetap sikat korupsi di Indonesia....,tuju dengan pak jadi jangan asal naik pajak akan rakyat yang akan peras kalo pajak naik apa harus naik pak mahfud bilang sensitif bgt kepada rakyat kena pajak jadi harus jelas jangan sampai pajak korupsi hebat kualitas dan profesional dalam rangkul ekonomi tetap sikat korupsi
"Kualitas mas gibran, diam diam mematikan 👏",mas gibran diam diam mati
saya senang melihat mas gibran yg di anggap sebagian pembencinya seperti cupu tpi ternyata malah suhuu😂😂😂❤❤❤,saya senang lihat mas gibran anggap bagi benci seperti cupu tpi nyata malah suhuu
"Hati-hati, awasi KPU jangan sampai salah input lagi memenangkan Paslon yang amplopnya gede!",hati awas kpu jangan sampai salah input lagi menang yang amplop gede
mas gibran hebat .jk terpilih smg melebihi kehebatan bojonya untuk ke majuan n kemakmuran indonesia Aamiiin,mas gibran hebat pilih smg lebih hebat bojonya untuk maju makmur indonesia
"Wadol janji"" no 1 bohong. X.... Bos...5 m. Hbs pejabat yg di bwah",janji bohong jabat bwah
si Mahmud itu pakai baju adat apa ya,itu pakai baju adat apa
Ga Ma top,top
"Itulah Gibran. 
Ibu hamil disuruh minum asam sulfat.  
Horeee",hamil suruh minum asam sulfat
"Cak imin kaya bupati pemalang agung yg dipenjara grgr korupsi ,janji janji aja gada bukti ntr😂",imin kaya bupati malang agung penjara grgr korupsi janji janji aja gada bukti ntr
"Gelo pisan bapak gibran sugan teh teu bisa ngomong
Sakali ngomong langsung savage",pis bapak gibran sugan teh teu bisa ngomong ngomong langsung savage
Salut sma mas Gibran R.. Santun,sma mas
"Fix debat kali ini panggungnya milik Gibran, diluar dugaan",debat kali ini panggung milik luar duga
"Muhaimin mau kasih Dana Desa 5 Miyar Per Desa? Jumlah Desa 2023 28,766 Desa x 143,8 Triliun Per Tahun. Kalau benar ini dilaksanakan dan diawasi Maka Semua Desa akan maju. Tapi kalau buat dikorupsi atau bahan bancakan akan habis2in Uang  Negara...",mau kasih benar ini laksana dan awas akan maju kalau buat korupsi atau bahan bancak akan habisin
"WAKIL 1 DAN WAKIL 3...
Nama mereka saja Saya SAJA gak TAU...""GAK TERKENAL DI INDONESIA ..
Mending mas kaesang daripada mereka ber2...😂😂😂😂😂",wakil dan wakil mereka saja saja gak taugak kenal indonesia mas kaesang daripada mereka ber
"Pertanyaan2 dr gibran sesuai dgn junjungannya selalu pakai istilah2😅😅😅.
N jg setiap pernyataan yg di tanyakn tdk ada satu pun yg di jawab. Bukannya ngambang tp emang tdk ada yg sesuai dgn pertanyaan.😅😅😅😂
Sikap nya sogong banget . Nampak pintar tp sebenarnya kosong.😅😅

Yg setuju, mrk telah melihat isi video nya dgn full😂",tanya gibran sesuai dgn junjung selalu pakai istilah tiap nyata tanyakn tdk ada satu pun jawab ngambang emang tdk ada sesuai dgn tanya nya sogong banget pintar benar kosong tuju mrk telah lihat isi video nya dgn full
Gk suka Ama MC nya masak gelar Gibran gk di sebutin ..dia itu kuliah berpendidikan.sebutin laah kayak yg lain lainnya,suka nya masak gelar sebutin dia itu kuliah berpendidikansebutin laah kayak lain lain
klau bisa pak jokowi - gibran jadi RI 1 😂👍👍👌💪,klau bisa pak jokowi gibran jadi
Pie min ora weruh singkatan.min Ngatimin,min ora weruh singkatanmin
Jng di bilang anak emas tapi kerja nyata nya dan di bilang plang plong dari yg lain...mantap Pak Gibran ..maju terus biar yg lain nyinyirrrrrr....🙌🙌😘😘😘👌👌👌👌02 Maju,bilang anak emas tapi kerja nyata nya dan bilang plang plong dari lainmantap maju terus biar lain nyinyirrrrrr
Sy pendukung cawapres 03 prof mahpud MD tp juga resfek atas pemaparan dlm debat semalam..meski beda pilihan saling resfek itu perlu...tp sy ttp dgn pilihan pada prof mahpud MD alasannya sehebat apapun gagasan ekonomi investasi dll tp tanpa didampingi hukum yg tegas dgn banyaknya pungli korupsi maka ekonomi tdk akan memberi dampak positif pada kemakmuran rakyat & Paslon 03 prof mahpud MD sdh berkomitmen bahwa ekonomi harus dikawal dgn penegakan hukum yg tegas agar ekonomi membawa berkah bagi kemajuan bangsa & kemakmuran rakyat Indonesia 👍💪🇮🇩☕,dukung cawapres prof mahpud juga resfek atas papar dlm debat semalammeski beda pilih saling resfek itu perlutp ttp dgn pilih pada prof mahpud alas hebat apa gagas ekonomi investasi dll tanpa damping hukum tegas dgn banyak pungli korupsi maka ekonomi tdk akan beri dampak positif pada makmur rakyat prof mahpud sdh komitmen bahwa ekonomi harus kawal dgn tega hukum tegas agar ekonomi bawa berkah bagi maju bangsa makmur rakyat
Bp gifran super sangat tanpa test full power buat prtayaan semua di paparkan sangat jelas,gifran super sangat tanpa test full power buat prtayaan semua papar sangat jelas
Ayo dukung no 02 ... setiap hari kan makan siang gratis wkwkwkwkkwkw,dukung tiap hari kan makan siang gratis wkwkwkwkkwkw
Urusan indonesia maju ank muda gibran yg bkl lebih mju indonesia,indonesia maju ank muda gibran bkl lebih mju indonesia
Ganjar Mahfud indonesia butuh penegakan hukum🙏,indonesia butuh tega hukum
Mahfud malah cerita dia mah bukan debat kocak,malah cerita dia mah bukan debat kocak
Ni anak ingusan ...nih anak kurang pengalaman ...nih anak ..apalagi ya....tapi liat cerdasnya ddia briliannya dia santunnya dia hebat ...nih anak muda indonesia yg hrs kita banggakan bukan dikucilkan bukan dipotong spiritnya wah berabe nih.....takut kalah....jangan krn demokrasi begitu jd jngn marah jngn takut kalah .😊ok?!!,anak ingus nih anak kurang alam nih anak apalagi yatapi liat cerdas ddia brilian dia santun dia hebat nih anak muda indonesia hrs kita bangga bukan kucil bukan potong spirit wah berabe nihtakut kalahjangan krn demokrasi begitu jngn marah jngn takut kalah
"Membangun kota ujung ujungnya penggusuran pemukiman rakyat kecil,,penggusuran hutan hutan dan penggusuran lahan lahan lainnya",kota ujung ujung gusur mukim rakyat kecilpenggusuran hutan hutan dan gusur lahan lahan lain
"beetul itu bansos diperkuat lagi, krn rejim sekarang akan sangat mengandalkan bansos untuk menggaet pemilih. lawannya cukup fokus pada bantuan sosial/non sosial sudah aman. krn debat program sehebat apapun tetap kalah dengan bansos",beetul itu bansos kuat lagi krn rejim sekarang akan sangat andal bansos untuk gaet pilih lawan cukup fokus pada bantu sosialnon sosial sudah aman krn debat program hebat apa tetap kalah dengan bansos
"Pendukung paslon 02 standar ganda ah, kemarin debat capres bilangnya ""buat apa pemimpin yg jago debat"", bilangnya ga suka pemimpin yg jago ngomong doang, pembelaannya lebih baik milih yg kerja di lapangan drpd yg jago debat. skrg giliran yg didukungnya keliatan jago debatnya dipuji puji 🤔 kok gaada yg ngomong yg sama kaya waktu debat capres yaa buat apa pemimpin yg jago debat 😂",paslon standar ganda kemarin debat capres bilang buat apa pimpin jago debat bilang suka pimpin jago ngomong doang bela lebih baik milih kerja lapang drpd jago debat skrg gilir dukung liat jago debat puji puji kok gaada ngomong sama kaya waktu debat capres yaa buat apa pimpin jago debat
Top ini anak muda,ini anak muda
"Syok terapi,Yg katanya bocah karbitan dan kabur terus klo diajak debat,yg katanya mau merubah skema debat & yg katanya bakalan gagu waktu debat lha kq malah lebih  briliant drpd yg lainnya... jaman wis kebolak-balik😢😢😢",terapi kata bocah karbitan dan kabur terus klo ajak debatyg kata mau rubah skema debat kata bakal gagu waktu debat lha malah lebih briliant drpd lain jaman wis kebolakbalik
GAMA yes,gama yes
Tambah semakin mantap pilih 2...bismilah,makin mantap pilih bismilah
Prabowo gibran pasti,gibran pasti
Saya tadinya mendukung mas anies. Tapi mas anies blunder dengan wakilnya yang tidak terarah. Mas gibran luar biasa anak muda yang jenaka visioner selalu menyuarakan indonesia emas,tadi dukung mas anies mas anies blunder dengan wakil yang tidak arah gibran luar biasa anak muda yang jenaka visioner selalu suara indonesia emas
"Jelas Prabowo dan Gibran.... 
intinya gini, jangan sekali kali kita meremehkan org...",dan inti gin jangan sekali kali kita remeh org
Roki Gr dimana ya?,mana
Yang paling keren Cawapres 1 jelas ttg tujuan kedepannya Indonesia akan seperti apa,paling keren jelas ttg tuju depan akan seperti apa
"Terima kasih mas gibran, sudah meyakinkan bahwa pilihan saya ga salah",kasih mas gibran sudah yakin bahwa pilih saya salah
Kya bkn gibran ini mh 😅 all in AMIN 🤩,bkn gibran ini all amin
"Jadi mikir....setelah nonton debat ini, duet ganjar gibran sepertinya lebih cocok...sayang nasi sudah jadi bubur😢",mikirsetelah nonton debat ini duet ganjar gibran seperti lebih cocoksayang nasi sudah jadi bubur
Jokowi persi tegas😁,pers tegas
kelass mas gibrann,kelass mas gibrann
ganjar mulai ambil hati bagian wilayah timur...tetap gibran ..gibran toleransi tinggi,ganjar mulai ambil hati bagi wilayah timurtetap gibran gibran toleransi tinggi
Janji capres bisa dituntut pelaksanaannya ga si kalo gak di tepati¿ Atau diajukan agar mau gamau harus dijalankan soalnya janji pak ganjar-mahfud bagus banget sayang kalo cuma jadi gagasan. Kan siapa pun presidennya kalo ada gagasan brilian harusnya diambil sebagai ide yang membangun.,capres bisa tuntut laksana kalo gak tepat aju agar mau gamau harus jalan soal janji pak ganjarmahfud bagus banget sayang kalo cuma jadi gagas siapa pun presiden kalo ada gagas brilian harus ambil bagai ide yang bangun
MERINDING SAMA PERNYATAAN2 MAS GIBRAN ❤😢 HEBAT BANGET KERENNN DAGING SEMUAAAAA...JIWA ROH PAK JOKOWI ADA DI GIBRAN,merinding sama nyata mas gibran hebat banget kerennn daging semuaaaaajiwa roh pak jokowi ada gibran
Hidup gibran dan pak bowo,gibran dan pak bowo
Jawaban gibran padat dan jelas...,gibran padat dan jelas
"gatau knp makin yakin sama paslon 02, keren bgt mas gibran makasih banyak ya🤩",gatau knp makin yakin sama paslon keren bgt mas gibran makasih banyak
"ada isu cawapres gibran takut ngak pake catatan, nyatanya ngaka tu gibran banyak baca catatn hehe mantapp gibran",ada isu cawapres gibran takut ngak pake catat nyata ngaka gibran banyak baca catatn hehe mantapp gibran
"Dengan tidak menyudutkan pihak lain
 Di sumutera hanya ada 2 suara PRABOWO DaN GANJAR M.D",tidak sudut pihak lain sumutera hanya ada suara prabowo dan ganjar
"Debat kok saling menjatuhkan y,,,,,,,jadi miris ngeliatnya dan gag tertarik sama calon manapun,,,,,,,,,",kok saling jatuh yjadi miris ngeliatnya dan gag tarik sama calon mana
Kalo ga bisa jawab ngomong aja ga usah melengos ...malu ya....makanya jngn sombong kamu pinter tapi ada lg yg lebih cerdas ...,bisa jawab ngomong aja usah lengos malu yamakanya jngn sombong kamu pinter tapi ada lebih cerdas
Emang boleh seUWUW itu mas gibran 😍,boleh seuwuw itu mas gibran
Keren.. mas Gibran..,mas
"Bedah sama pak Anis Baswedan,,udah ada buktinya.",sama pak udah ada bukti
"Apalah daya,angin tak ber KTP 😂😂",dayaangin tak ber ktp
Mahfud MD mantap. Paling realistis dan membongkar fakta di lapangan. Kita butuh eksekutif yang seperti ini. Bukan lagi yang fokus pada konsep dan gagasan saja.,mantap realistis dan bongkar fakta lapang butuh eksekutif yang seperti ini lagi yang fokus pada konsep dan gagas saja
IKN adalah proyek pusat untuk membangun istana kerajaan ekslusif yg akan sulit dijangkau rakyat,ikn adalah proyek pusat untuk bangun istana raja ekslusif akan sulit jangkau rakyat
Pak Jokowi juga dulu kayak gini waktu kampanye..pas ia naik..anda bisa nilai sendiri..,juga dulu kayak gin waktu kampanyepas naikanda bisa nilai sendiri
Asam sulfat 😂😂😂😂,sulfat
"Saya sopir truk,,bangga liat anak muda yg santun dan cerdas,,semoga anak saya bisa seperti gibran",sopir trukbangga liat anak muda santun dan cerdassemoga anak saya bisa seperti gibran
Gpp Pak Prabowo atau Pak Ganjar yg naik asal jgn Pak Anis ngerinya dia membangun dan hanya peduli di jakarta sama pulau jawa doang tapi di timur2 sana bodo amat bagus klw dia peduli sama yg di timur2 sana gua dukung👍👍,atau naik asal jgn ngeri dia bangun dan hanya peduli jakarta sama pulau jawa doang tapi timur sana bodo amat bagus klw dia peduli sama timur sana gua dukung
kesimpulanya Mas gibran mampu meyakin kan kita beliou dpt menepis pertanya an dari kedua lawanya..& beliou pasti mampu memimpin jalanya pembangunan indoneaia maju..hhhhh,kesimpulanya gibran mampu yakin kan kita beliou dpt menep tanya dari dua lawa beliou pasti mampu pimpin jala bangun indoneaia majuhhhhh
"Pasti Gibran udah di bilangin lewat headset yg dia pakai itu,, Gibran pasti udah nge WA cak Imin dan Mahfud MD pasti itu,,makanya Gibran lancar jawab nya ,,curang nih yeeee ,,pasti debat ini udah di susun ,,Anies menang satu putaran",udah bilangin lewat headset dia pakai itu pasti udah nge cak dan pasti itumakanya lancar jawab nya curang nih yeeee pasti debat ini udah susun menang satu putar
Ngomong doang ini..kayak pak Jokowi..,doang inikayak pak
MANTAP GIBRANNNNN,mantap gibrannnnn
poinnya cak imin👍,poin cak imin
Njir cawapres ganjar kaya gk ada wibawa nya,cawapres ganjar kaya ada wibawa nya
Mana nih yg dukung amin dan mahfud kalo saya sih tetap prabowo-gibran sorry yee😂😝,nih dukung amin dan mahfud kalo saya sih tetap prabowogibran sorry yee
"buah jatuh gak jauh dri pohon nya,itulah kata yg tepat untk menggambarkan mas gibran,
tenang tegas lugas attitute e the best❤❤❤❤.",buah jatuh gak jauh dri pohon nyaitulah kata tepat untk gambar mas gibran tenang tegas lugas attitute the best
Susah kalo debat dg pak Mahfud hehe. Berasa jadi mahasiswa pas d sidang skripsi.,kalo debat pak hehe jadi mahasiswa pas sidang skripsi
Apakah mungkin pertanyaan nya udah dikasih tau ke dia,mungkin tanya nya udah kasih tau dia
"pencuri partai itu ngomong apa sih,,bolak balik tak dengerin masih gagal paham saya.....",curi partai itu ngomong apa sihbolak balik tak dengerin masih gagal paham saya
Salut debat kali ini berkualitas,debat kali ini kualitas
"bapak ny 10 jt lapangan kerja , anak ny ga kalah pula 19 juta 😂😂... ruarrr biasaa memabg indonesia ku ini",bapak lapang kerja anak kalah pula juta ruarrr biasaa memabg indonesia ini
Seperti nya Gibran sudah menghafal😂,nya sudah hafal
"Mas gibran penwrus era pak jokowi,, insya allah pak prabowo gibran,the next of president and wakil president 2024",gibran penwrus era pak jokowi insya allah pak prabowo gibranthe next president and wakil president
Siapa yang membiarkan saudara Gibran memasak👤🗣️🔥🔥?!!!,yang biar saudara masak
Itu pak mahfud slalu cari ksalahan paslon 2,pak mahfud slalu cari ksalahan paslon
Sebagai pengusaha sy pingin tau 23% pajak gibran itu diambil dr apa??? Krn memang sensitif bagi pengusaha. Knp gibran tdk jawab.,usaha pingin tau pajak gibran itu ambil apa memang sensitif bagi usaha gibran tdk jawab
Muhaimin lihat tex padahal dia sudah banyak pengalamanya🤣🤣🤣🤣🤣🤣,lihat tex padahal dia sudah banyak pengalamanya
Gibran bolehhh mantappp,bolehhh mantappp
Gw dukung No. 2 Pa Prabowo - Mas Gibran...,dukung
Mas Gibran ini mau berdebat kalo memang pd tempatnya! aku padamu❤ 🫰,ini mau debat kalo memang tempat aku pada
Harus saya akuu Gibran memang sangat layak.,saya akuu memang sangat layak
Pak prabowo & mas gibran yess❤❤❤❤❤❤,prabowo mas gibran yess
Atas nama Allah pak  mahfud  bicara soal ini  ma diluar kepala,nama pak mahfud bicara soal ini luar kepala
Bawa tex kah🤣🤣🤣🤣,tex kah
"Saya pendukung Ganjar,menilai dulu Prabowo angkuh sombong golongan Gibran sekarang gemoy dan pendukungnya sekarang bijak gak kek dulu yg anarkis,dan muhaimin dulu alim golongan Anis sekarang konyol dan pendukungnya jadi anarkis suka mengolok merasa paling cerdas ketularan pendukung anis",dukung nilai dulu angkuh sombong golong sekarang gemoy dan dukung sekarang bijak gak kek dulu anarkisdan muhaimin dulu alim golong sekarang konyol dan dukung jadi anarkis suka olok rasa paling cerdas tular dukung anis
Kok amin liat kebawa,amin liat bawa
Kuliah gratis utk anak prajurit?,gratis utk anak prajurit
All in prabowo gibran,prabowo gibran
Mukanya pak mahfud ngeselin gak si,pak mahfud ngeselin gak
"Siapa pun jd prsdn dan waskil prsdn nnti,itu lh yg trbaik,tpi doa dan pilihakn kmi sekluarga dari kalimantan ttp milih prbowo n gbran❤",pun prsdn dan waskil prsdn nntiitu trbaiktpi doa dan pilihakn kmi sekluarga dari kalimantan ttp milih prbowo gbran
Sangat yakin sih prabowo - gibran akan Menang,yakin sih prabowo gibran akan
01 kyknya gak nyenggol gak menang 😌,kyknya gak nyenggol gak menang
Gus muhaimin luar biasa,muhaimin luar biasa
"Yg psti aja, sy pilih Prabowo Gibran, ada mkn siang dan minun susu gratis utk anak2 skolah sy yakin akan sgt membantu, sebagai org tua yg punya penghasilan tdk psti, minimal ada jamunan mkn siang d skolah, bismillah Indonesia maju dan makmur",psti aja pilih ada mkn siang dan minun susu gratis utk anak skolah yakin akan sgt bantu bagai org tua punya hasil tdk psti minimal ada jamunan mkn siang skolah bismillah maju dan makmur
Lah pake konsep lagi...tetap ✌️✌️✌️🫰🫰🫰🫰,pake konsep lagitetap
Bnyak yg dkung gibran ya,dkung gibran
5 M untuk setiap desa.. wow mau kasi kaya kepala desa dan antek2nya yah pak.,untuk tiap desa wow mau kasi kaya kepala desa dan antek yah pak
"Pak mahfud punya kapasita untuk menjadi cawapres, pengalaman tidak bisa berbohong..

gibran keren wawasan luar bisa di umurnya yg masih muda..

Cak imin jossss.. lanjutkan pak..",mahfud punya kapasita untuk jadi cawapres alam tidak bisa bohong gibran keren wawas luar bisa umur masih muda imin jossss lanjut pak
"Lo.. Lo.. Lo.. Lo.. Ga bahaya ta.. Emg bleeeeh,, emm.. Emang boleeh.. Sekeren ini debat cawapres",bahaya bleeeeh emm boleeh ini debat cawapres
Mau bangun 40  kota sekala jakarta tapi gak setuju sama IKN. Ketauan gak jelas programnya.,bangun kota sekala jakarta tapi gak tuju sama ikn gak jelas program
Waduh cak Imin bikin malu😂😂😂😂,cak bikin malu
ada yang kelimpungan menghadapi mas gibran....,ada yang kelimpungan hadap mas gibran
Saya tidak mau kecewa ke tiga kli klo saya dukung provowo malas krna akn klah lagi apa lagi wakil nya masih anak d bawah umur yg blum tau pahit manis nya ke hidupan,tidak mau kecewa tiga kli klo saya dukung provowo malas krna akn klah lagi apa lagi wakil nya masih anak bawah umur blum tau pahit manis nya hidup
"Singkat,padat dan jelas..the best, jgn panggil q belimbing sayur paman..mas Gibran oke .",padat dan jelasthe best jgn panggil belimbing sayur pamanmas oke
"Mari kita coblos paslon no urut 2 menuju Indonesia emas,semoga pak wowo dan mas Gibran menang🤲🤲🤲",kita coblos paslon urut tuju emassemoga pak wowo dan mas menang
"Siap memenangkan Prabowo Gibran
Salam dari Sumatra Utara",menang dari
"Ini baru Debat wapres dgn adu gagasan mantep ini bru debat bukan saling menjatuhkan mencela,,,joos adu visi misi mantep",baru wapres dgn adu gagas mantep ini bru debat bukan saling jatuh mencelajoos adu visi misi mantep
"Gibran= menggerakan anak mudah agar indonesia lebih maju.
Mahfud md=  memberantas korupsi agar ekonomi maju indonesia lebih baik
Cak imin= Slepettt.....",gera anak mudah agar indonesia lebih maju berantas korupsi agar ekonomi maju indonesia lebih baik imin
Imin yang potong tumpeng di IKN. sekarang malah blunder😂,yang potong tumpeng ikn sekarang malah blunder
Masyaallah terharun bnget n bangga lihat mas gibran...berkarisma,terharun bnget bangga lihat mas gibranberkarisma
Tp kok orng luar yg bekerja orng dlmnya sebagai penonton saja,kok orng luar kerja orng dlmnya bagai tonton saja
Butet kmn?,kmn
"Debat yang sy tunggu penasaran karena banyak yang meremehkan mas Gibran dan akhirnya dia bisa membuktikan bahwa usia boleh muda tapi wawasan boleh lebih luas dari yang tua. 

Di era saat ini usia bukan batasan ilmu pengetahuan",yang tunggu penasaran karena banyak yang remeh mas dan akhir dia bisa bukti bahwa usia boleh muda tapi wawas boleh lebih luas dari yang tua era saat ini usia bukan batas ilmu tahu
TOP BPK MAHFUD MD 🙏,top bpk mahfud
"Semoga siapapun nt yg terpilih dan jadi, bisa membawa bangsa ini menjadi lebih baik.  Aamiin.",siapa pilih dan jadi bisa bawa bangsa ini jadi lebih baik
"Harusnya gibran jelasin apa maksud pertanyaaannya, baik SGIE atau Carbon² td... Jujur, klo kyk gitu ga kliatan bijaksana, lebih kyk menjebak nggak sih?..
Cak imin sama pak mahfud juga harusnya perbanyak literasi..

Overall good debatnya",gibran jelasin apa maksud pertanyaaannya baik sgie atau carbon klo kyk gitu kliatan bijaksana lebih kyk jebak nggak sih imin sama pak mahfud juga harus banyak literasi good debat
Gibrannnnn proud of yoy,proud yoy
"Yg 1 jd bintang panggung, yg lain kelihatan tdk selevel 😅😅",bintang panggung lain lihat tdk level
2024 ALL IN PRABOWO & GIBRAN🇲🇨,all prabowo gibran
Saatnya yg muda tuk maju,muda tuk maju
KERENNNN GIBRANNNNNNN❤❤❤❤❤😊,kerennnn gibrannnnnnn
bapak nya aja yg mimpin pengangguran dmna2 kita butuh perubahan contoh kereta cepat hanya org2 tertrntu yg bisa naik mending anggaran nya  buat mensejaterahkan rakyat nya bbm naik 2x diem2 ga inget tps bnyak yg meninggal pas pemilu ga ingat jg pengumuman capres tengah malam di saat org tidur apa itu ga melanggar uud.... kita butuh perbuahan,bapak nya aja mimpin anggur dmna kita butuh ubah contoh kereta cepat hanya org tertrntu bisa naik mending anggar nya buat mensejaterahkan rakyat nya bbm naik diem inget tps bnyak tinggal pas milu ingat umum capres tengah malam saat org tidur apa itu langgar uud kita butuh buah
Kalau menggunakan singkatan bahasa Indonesia artinya pun bahasa Indonesia. Kalau gunakan singkatan bahasa inggris begitu juga ucapan ny arti singkatan ny pun bahasa inggris. Seperti SGIE.,guna singkat bahasa arti pun bahasa guna singkat bahasa inggris begitu juga ucap arti singkat pun bahasa inggris sgie
Terlihat klo gibran sidang matang  prabowo gibran mkin terdepan❤❤❤,klo gibran sidang matang prabowo gibran mkin depan
Sya jujur tadinya golput....setela mendengar kta penutup yg itu jelas nampak perkataan yg dri haty tanpa pake teks..kesempatan cuma datang Skali kesmpatan tdak dtang dua kali...setela sya resapi ini kata kata lebi dri apapunnn......ND AD KATA LAIN SELAIN ILOFE YOU GIBRANNN....02 IS THE BESST,jujur tadi golputsetela dengar kta tutup itu jelas nampak kata dri haty tanpa pake tekskesempatan cuma datang kesmpatan tdak dtang dua kalisetela sya resap ini kata kata lebi dri apapunnnnd kata lain selain ilofe you gibrannn the besst
tetap no 1,tetap
Sama saja KL masi Prabowo TDK akan beruba,saja mas tdk akan uba
"Mas Gibran..keren banget, profesionalism nya terlihat jelas 🇮🇩👍😍",keren banget profesionalism nya lihat jelas
"Dari sini kita bisa lihat, (pemikiran) dewasa tidak dilihat dari segi usia!",sini kita bisa lihat pikir dewasa tidak lihat dari segi usia
"Mulutmu sini ta slepet 😅 yg cuma janji"" serapah doang",sini slepet cuma janji serapah doang
Dulu penjilat..skrng mlh jd plinpan mudah terpengaruh...gt mau jd cawapresss....ayo mas gibran smngt...karna debat semalam kmi jd tersadarkan jd mkin mantap milih no 2,penjilatskrng mlh plinpan mudah terpengaruhgt mau cawapresssayo mas gibran smngtkarna debat malam kmi sadar mkin mantap milih
Dulu dukung sekarang gak dukun IKN? berarti sudah kembali ke jalan yg benar..sudah sadar..,dukung sekarang gak dukun ikn arti sudah kembali jalan benarsudah sadar
"Emang harusnya gilirran anak muda  yg nyalonin capres jnggan yg tua"" mulu  😊",harus gilirran anak muda nyalonin capres jnggan tua mulu
Gibran next president,next president
topi ganjar beli dimana ya,topi ganjar beli mana
"Gibran punya gagasan full power, punya sdm jitu. Tanpa test jelas dan tau persoalan puplic.",punya gagas full power punya sdm jitu test jelas dan tau soal puplic
DAN SELESAI 🤣🤣🤣,dan selesai
